video,time_hms,text
新三国01.mkv,0:00:04,东汉末年
新三国01.mkv,0:00:07,黄巾起义在爆发后的第八个月
新三国01.mkv,0:00:10,即告平息
新三国01.mkv,0:00:12,但积重难返的大汉王朝
新三国01.mkv,0:00:14,却并没有重获生机
新三国01.mkv,0:00:17,公元一八九年
新三国01.mkv,0:00:19,十四岁的汉少帝刘辩继位
新三国01.mkv,0:00:23,执掌外戚势力的大将军何进
新三国01.mkv,0:00:25,为了彻底剿除宦官势力
新三国01.mkv,0:00:27,听信袁绍的意见
新三国01.mkv,0:00:30,密令董卓统军进京
新三国01.mkv,0:00:33,三国这个长达一百多年
新三国01.mkv,0:00:36,混乱纷争的时代
新三国01.mkv,0:00:40,就这样拉开了序幕
新三国01.mkv,0:00:43,公元一八九年
新三国01.mkv,0:00:46,董卓废少帝刘辩
新三国01.mkv,0:00:48,立陈留王刘协继位
新三国01.mkv,0:00:52,是为汉献帝
新三国01.mkv,0:00:55,董卓被拜为相国
新三国01.mkv,0:00:57,权倾朝野
新三国01.mkv,0:00:57,天人共怒
新三国01.mkv,0:01:01,遂激起举国之义愤
新三国01.mkv,0:01:05,陛下有旨
新三国01.mkv,0:01:08,着百官恭送董相国出宫
新三国01.mkv,0:01:15,臣等恭送董相国出宫
新三国01.mkv,0:01:58,议政毕
新三国01.mkv,0:02:00,退朝
新三国01.mkv,0:02:18,禀大人
新三国01.mkv,0:02:20,今儿是司徒王允大人寿诞
新三国01.mkv,0:02:21,王大人已在府中备下酒席
新三国01.mkv,0:02:23,请大人赴宴
新三国01.mkv,0:02:26,王司徒请了董卓没有
新三国01.mkv,0:02:31,知道了请转告司徒大人
新三国01.mkv,0:02:33,老夫一定去赴宴一定去一定去
新三国01.mkv,0:03:01,小公公
新三国01.mkv,0:03:04,曹大人
新三国01.mkv,0:03:05,我都等了你半天了
新三国01.mkv,0:03:07,你就没有什么信
新三国01.mkv,0:03:10,要传给我吗
新三国01.mkv,0:03:17,你刚才对所有人
新三国01.mkv,0:03:18,都窃窃私语了一番
新三国01.mkv,0:03:21,却为何不对我说呢
新三国01.mkv,0:03:24,你是瞧不起我曹操吗
新三国01.mkv,0:03:37,太傅大人啊
新三国01.mkv,0:03:38,您看出来了吧
新三国01.mkv,0:03:41,王司徒寿宴所请之人
新三国01.mkv,0:03:43,全都是先皇的旧臣啊
新三国01.mkv,0:03:45,自然如此了
新三国01.mkv,0:03:46,在下以为
新三国01.mkv,0:03:48,王司徒此宴绝非是袁大人
新三国01.mkv,0:03:49,袁大人
新三国01.mkv,0:03:51,曹孟德
新三国01.mkv,0:03:53,在下先辞告退
新三国01.mkv,0:03:55,好请便告辞了告辞
新三国01.mkv,0:03:59,大家都是同朝称臣
新三国01.mkv,0:04:01,可是有些仁兄
新三国01.mkv,0:04:04,却耻与我曹操为伍啊
新三国01.mkv,0:04:06,孟德果然有见识啊
新三国01.mkv,0:04:07,如蒙太傅不弃
新三国01.mkv,0:04:09,想与你为伍
新三国01.mkv,0:04:13,陪你走几步不知可否
新三国01.mkv,0:04:14,听凭尊意
新三国01.mkv,0:04:15,请
新三国01.mkv,0:04:18,袁太傅
新三国01.mkv,0:04:22,今日可是司徒王大人的寿诞吗
新三国01.mkv,0:04:24,孟德不光眼力好
新三国01.mkv,0:04:25,而且听力也不错
新三国01.mkv,0:04:27,你说那个
新三国01.mkv,0:04:29,替司徒大人传话的小黄门
新三国01.mkv,0:04:30,为什么把你们都请了去
新三国01.mkv,0:04:33,单单没有请我曹操呢
新三国01.mkv,0:04:34,要知道
新三国01.mkv,0:04:36,我是最敬重你们这些先皇旧臣了
新三国01.mkv,0:04:39,尤其是最敬重司徒王大人
新三国01.mkv,0:04:42,老夫回答你之前
新三国01.mkv,0:04:46,有一事也要请教足下
新三国01.mkv,0:04:47,请大人示下
新三国01.mkv,0:04:47,正如足下所说
新三国01.mkv,0:04:49,王司徒请宾客
新三国01.mkv,0:04:51,却为何偏不请你曹孟德呀
新三国01.mkv,0:04:58,问得好
新三国01.mkv,0:05:03,既然好那就请你不吝赐教了
新三国01.mkv,0:05:06,我想是因为
新三国01.mkv,0:05:09,那就是受邀者个个都是出自
新三国01.mkv,0:05:11,名门豪族世受皇恩
新三国01.mkv,0:05:15,而我曹操在你们眼里
新三国01.mkv,0:05:18,却是阉宦之后腌臜不堪
新三国01.mkv,0:05:19,一个卑贱之徒
新三国01.mkv,0:05:21,怎能与列位尊者为伍呢
新三国01.mkv,0:05:28,曹孟德能把话说到这个境界上
新三国01.mkv,0:05:29,已经很了不起了
新三国01.mkv,0:05:32,不过还有些原因
新三国01.mkv,0:05:38,袁大人真的要让我都说出来吗
新三国01.mkv,0:05:40,是你要与老夫同行的
新三国01.mkv,0:05:41,同行若不同道
新三国01.mkv,0:05:43,这与行尸走肉又有何异呢
新三国01.mkv,0:05:49,好那我就说了
新三国01.mkv,0:05:58,受邀者个个都是先皇旧臣
新三国01.mkv,0:06:00,也个个都是以王允为首的
新三国01.mkv,0:06:01,帝党心腹
新三国01.mkv,0:06:04,而我曹操在你们看起来
新三国01.mkv,0:06:10,却品行轻贱甘为鹰犬屈身事贼
新三国01.mkv,0:06:13,足下怎么不说了
新三国01.mkv,0:06:15,你接着往下说啊
新三国01.mkv,0:06:16,你怎么个轻贱法
新三国01.mkv,0:06:19,怎么个屈身法
新三国01.mkv,0:06:21,你做的是哪家的鹰犬
新三国01.mkv,0:06:24,你事的又是哪家的贼
新三国01.mkv,0:06:25,国贼董卓嘛
新三国01.mkv,0:06:28,你你你你小声点
新三国01.mkv,0:06:29,怎么了袁大人
新三国01.mkv,0:06:31,这国贼二字
新三国01.mkv,0:06:35,不是早就被你们这帮公卿大臣
新三国01.mkv,0:06:38,恨碎了牙操碎了心了吗
新三国01.mkv,0:06:41,怎么在这光天化日之下
新三国01.mkv,0:06:42,京师皇宫之中
新三国01.mkv,0:06:44,却不敢大声地说出来
新三国01.mkv,0:06:47,你们不是把金銮殿都视为圣地
新三国01.mkv,0:06:53,那么多道貌岸然的公卿大臣
新三国01.mkv,0:06:55,都噤若寒蝉胆战心惊
新三国01.mkv,0:07:00,这才让我真正地看到了
新三国01.mkv,0:07:03,什么是尊什么是卑
新三国01.mkv,0:07:05,看到了尊卑的别样意境
新三国01.mkv,0:07:08,一个小小的喷嚏
新三国01.mkv,0:07:10,却使自命清高者尽成鼠辈
新三国01.mkv,0:07:16,你你你
新三国01.mkv,0:07:30,大人来了请请请请请
新三国01.mkv,0:07:33,好好请请请
新三国01.mkv,0:07:37,请请大人您慢点走
新三国01.mkv,0:07:40,大人请请
新三国01.mkv,0:07:48,王公六十华诞在下恭喜拜寿
新三国01.mkv,0:07:52,多谢多谢请请请请好好
新三国01.mkv,0:07:55,请请请
新三国01.mkv,0:08:04,该来的都来了吗
新三国01.mkv,0:08:06,回老爷的话
新三国01.mkv,0:08:08,所请的宾客一个不少都来了
新三国01.mkv,0:08:12,好关闭大门熄掉灯笼
新三国01.mkv,0:08:14,停止奏乐
新三国01.mkv,0:08:17,不要惊动了巡夜的鹰犬
新三国01.mkv,0:08:20,遵命
新三国01.mkv,0:08:29,恭祝王公六十大寿
新三国01.mkv,0:08:31,列位请请
新三国01.mkv,0:08:39,好酒好酒好酒
新三国01.mkv,0:08:42,来来来来来
新三国01.mkv,0:09:09,开门迎客
新三国01.mkv,0:09:12,请请请
新三国01.mkv,0:09:16,老爷
新三国01.mkv,0:09:19,有一人自称是骁骑校尉曹操
新三国01.mkv,0:09:22,不请自到非要给你拜寿
新三国01.mkv,0:09:25,曹操
新三国01.mkv,0:09:27,曹阿瞒真是太无礼了
新三国01.mkv,0:09:31,近乎厚颜无耻啊
新三国01.mkv,0:09:32,董卓一进京
新三国01.mkv,0:09:34,曹操就拜入董贼门下
新三国01.mkv,0:09:36,卑躬屈膝邀宠献媚
新三国01.mkv,0:09:38,简直是丢尽了仕子人臣的脸面啊
新三国01.mkv,0:09:43,是啊开头他还是隔日一朝拜
新三国01.mkv,0:09:45,可是现在呢竟然是晨安暮省
新三国01.mkv,0:09:47,紧紧跟随
新三国01.mkv,0:09:50,他实为相府之鹰犬
新三国01.mkv,0:09:52,这个人啊
新三国01.mkv,0:09:53,我看简直就像是董卓的干儿子
新三国01.mkv,0:09:56,禀司徒大人
新三国01.mkv,0:09:59,曹操此行必是来替董卓当耳目
新三国01.mkv,0:10:00,打探消息的
新三国01.mkv,0:10:02,是啊大人赶快将他撵走吧
